API区分,試算番号,バージョン,自動更新,アカウント名（契約先/納入先）,請求先（受注先）
I,QJ01363435,001,,1000020576,1000020576
I,QJ01364359,001,,1000312549,1000032810
I,QJ01365123,001,,1001002792,1000013253
I,QJ01365949,001,,1000334878,1000017155
I,QJ01366329,001,,1001002492,1001002492
I,QJ01367480,001,,1000002961,1000028397
I,QJ01368330,001,,1000078720,1000022168
I,QJ01368505,001,,1000021316,1000021316
I,QJ01368560,001,,1000021572,1000028876
I,QJ01368808,001,,1000078738,1001000444
I,QJ01369089,001,,1001001689,1000016675
I,QJ01369607,001,,1000072969,1000006765
I,QJ01369717,001,,1000334827,1000032844
I,QJ01370195,001,,1000335692,1000029555
I,QJ01370357,001,,1000094504,1000327307
I,QJ01370496,001,,1000049810,1000006765
I,QJ01370555,001,,1001000972,1000322166
I,QJ01370807,001,,1001000011,1000033323
I,QJ01371372,001,X,1000078047,1000078047
I,QJ01372085,001,,1000017763,1001000444
I,QJ01372086,001,,1000017813,1000335998
I,QJ01372765,001,,1000029772,1000029772
I,QJ01373082,001,,1000005308,1000005228
I,QJ01373361,001,,1000315516,1000315516
I,QJ01374861,001,,1000016632,1000016675
I,QJ01375098,001,,1000072219,1000011718
I,QJ01375661,001,,1000301051,1000004995
I,QJ01375968,001,,1000005161,1000005180
I,QJ01376111,001,,1000009981,1000009981
I,QJ01376289,001,,1000333427,1000025081
I,QJ01376671,001,,1000016051,1000016051
I,QJ01376758,001,,1000336113,1000015092
I,QJ01376893,001,,1000229416,1000003085
I,QJ01376972,001,,1000084871,1000010230
I,QJ01376978,001,,1000025815,1000004393
I,QJ01377001,001,,1000012155,1000032631
I,QJ01377016,001,,1001001485,1000033323
I,QJ01377025,001,,1001002962,1000038577
I,QJ01377060,001,,1001001980,1000328254
I,QJ01377172,001,,1001001955,1000033719
I,QJ01377174,001,,1000012239,1000012239
I,QJ01377222,001,,1000025237,1000009234
I,QJ01377510,001,X,1000003647,1000003647
I,QJ01377909,001,,1000012250,1000012250
I,QJ01378016,001,,1000009107,1000009119
I,QJ01378465,001,,1000025773,1000025761
I,QJ01378558,001,,1000020856,1000333753
I,QJ01383595,001,X,1000072829,1000002641
I,QJ01386591,001,X,1000016236,1000016345
I,QJ01387452,001,,1000013238,1000013238
I,QJ01387640,001,X,1000023613,1000023613
I,QJ01387916,001,X,1000318691,1000318691
I,QJ01389942,001,X,1000007600,1000007600
I,QJ01390286,001,X,1000025491,1000025491
