試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ00542709,,,UX14393,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,557979,2700,,
QJ00543416,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,554581,2800,,
QJ00543601,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,543601,100,,
QJ00544726,,,UXA40T2,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,544726,100,,
QJ00544773,,,UX14393,個,1,JPY,0,,2013/8/1,2018/7/30,,60,0,1,566581,200,,
QJ00545041,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,545041,3100,,
QJ00545359,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,546213,200,,
QJ00545463,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,558850,2500,,
QJ00546288,,,UX14383,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,546288,2100,,
QJ00546672,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,577448,2100,,
QJ00547061,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,567343,2700,,
QJ00547062,,,UX14393,個,1,JPY,0,,2013/8/21,2018/7/31,,59,0,1,547062,1400,,
QJ00547203,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,547203,2700,,
QJ00547558,,,UX14403,個,1,JPY,0,,2013/9/24,2018/9/23,,60,0,1,573937,2100,,
QJ00549311,,,UX141G3,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,581041,2500,,
QJ00549649,,,UX14383,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,549649,200,,
QJ00549879,,,UX141J3,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,549979,200,,
QJ00549879,,,UX141G3,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,549979,300,,
QJ00549936,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,571794,2300,,
QJ00550361,,,UX141D3,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,550361,100,,
QJ00550436,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,550752,100,,
QJ00550450,,,UX14393,個,1,JPY,0,,2013/5/11,2018/5/10,,60,0,1,560802,3100,,
QJ00550569,,,UX142J2,個,1,JPY,0,,2013/7/1,2018/6/30,,60,0,1,550569,400,,
QJ00550569,,,UX142E2,個,1,JPY,0,,2013/7/1,2018/6/30,,60,0,1,550569,500,,
QJ00550831,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,570345,2300,,
QJ00550897,,,UX14383,個,1,JPY,0,,2013/8/17,2018/8/16,,60,0,1,550897,100,,
QJ00551595,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,575243,1600,,
QJ00552336,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,561375,3400,,
QJ00552379,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,561983,1700,,
QJ00552627,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,560804,1600,,
QJ00552630,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,582964,1500,,
QJ00552704,,,UX140U3,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,552704,2800,,
QJ00552908,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,561131,2100,,
QJ00553317,,,UX14383,個,1,JPY,0,,2013/8/26,2018/8/31,,60,0,1,553317,100,,
