試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ01494841,,,UX149R1,個,1,JPY,0,,2017/3/30,2018/3/29,,12,0,1,1498848,1400,,
QJ01494915,,,UX149R1,個,1,JPY,0,,2017/5/1,2018/4/30,,12,0,1,1500870,2700,,
QJ01494917,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1494917,600,,
QJ01494919,,,UX142A2,個,1,JPY,0,,2017/3/15,2018/3/14,,12,0,1,1494919,400,,
QJ01494958,,,UX142A2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1494958,900,,
QJ01495030,,,UX142F2,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1495030,400,,
QJ01495157,,,UX142F2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1495157,900,,
QJ01495162,,,UX149R1,個,1,JPY,0,,2017/5/1,2018/4/30,,12,0,1,1498830,2300,,
QJ01495163,,,UX142F2,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1495163,500,,
QJ01495167,,,UX142A2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495167,100,,
QJ01495217,,,UX142F2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1495217,500,,
QJ01495218,,,UX149R1,個,1,JPY,0,,2017/4/27,2018/4/26,,12,0,1,1519055,2100,,
QJ01495219,,,UX14233,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495219,200,,
QJ01495219,,,UX14293,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495219,300,,
QJ01495219,,,UX14353,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495219,400,,
QJ01495219,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495219,500,,
QJ01495282,,,UX142E2,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1495282,200,,
