試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ01429222,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1429222,500,,
QJ01429225,,,UX149R1,個,1,JPY,0,,2017/1/6,2018/1/5,,12,0,1,1433141,2400,,
QJ01429281,,,UX149R1,個,1,JPY,0,,2016/12/1,2017/12/31,,13,0,1,1429893,1100,,
QJ01429310,,,UX149R1,個,1,JPY,0,,2017/1/16,2018/1/15,,12,0,1,1445531,2000,,
QJ01429315,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1429315,400,,
QJ01429320,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1429320,400,,
QJ01429434,,,UX149R1,個,1,JPY,0,,2016/12/22,2017/12/21,,12,0,1,1433281,2700,,
QJ01429437,,,UX149R1,個,1,JPY,0,,2016/12/1,2017/12/31,,13,0,1,1434409,1700,,
QJ01429440,,,UX142A2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1429440,400,,
QJ01429487,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1429487,400,,
QJ01429596,,,UX149R1,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1433933,1200,,
QJ01429604,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1429604,400,,
QJ01429652,,,UX149R1,個,1,JPY,0,,2016/12/26,2017/12/25,,12,0,1,1435009,3100,,
QJ01429654,,,UX142F2,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1429654,500,,
QJ01429706,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1429706,500,,
QJ01429788,,,UX142F2,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1429788,400,,
QJ01429853,,,UX149R1,個,1,JPY,0,,2017/1/21,2018/1/20,,12,0,1,1435887,1700,,
QJ01429944,,,UX149R1,個,1,JPY,0,,2017/1/10,2018/1/9,,12,0,1,1433479,700,,
QJ01429962,,,UX142F2,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1429962,600,,
QJ01430135,,,UX142A2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1430135,100,,
QJ01430165,,,UX149R1,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1435508,2800,,
QJ01430177,,,UX142A2,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1430177,400,,
QJ01430178,,,UX142F2,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1430178,700,,
QJ01430188,,,UX149R1,個,1,JPY,0,,2016/12/26,2017/12/25,,12,0,1,1435015,2700,,
QJ01430195,,,UX149R1,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1434270,500,,
