試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ00775799,,,UX14383,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,783261,2200,,
QJ00775834,,,UX14383,個,1,JPY,0,,2014/5/1,2019/4/30,,60,0,1,775834,100,,
QJ00775949,,,UX142E2,個,1,JPY,0,,2014/7/17,2019/7/16,,60,0,1,783887,800,,
QJ00776174,,,UX14383,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,785394,1400,,
QJ00776331,,,UX14383,個,1,JPY,0,,2014/5/1,2019/4/30,,60,0,1,776331,200,,
QJ00776477,,,UX14383,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,792965,1600,,
QJ00776748,,,UX14383,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,784990,2900,,
QJ00777031,,,UX141C3,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,777031,3700,,
QJ00777499,,,UX14383,個,1,JPY,0,,2014/6/26,2019/6/30,,60,0,1,777499,100,,
QJ00777547,,,UX14383,個,1,JPY,0,,2014/6/26,2019/6/25,,60,0,1,777585,100,,
QJ00777683,,,UX141G3,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,781993,300,,
QJ00777683,,,UX142K3,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,781993,400,,
QJ00777683,,,UX142N3,個,10,JPY,0,,2014/7/1,2019/6/30,,60,0,1,781993,500,,
QJ00777683,,,UX143R3,個,5,JPY,0,,2014/7/1,2019/6/30,,60,0,1,781993,600,,
QJ00777683,,,UX143N3,個,2,JPY,0,,2014/7/1,2019/6/30,,60,0,1,781993,700,,
QJ00777683,,,UX142U3,個,10,JPY,0,,2014/7/1,2019/6/30,,60,0,1,781993,800,,
QJ00777683,,,UX144U3,個,5,JPY,0,,2014/7/1,2019/6/30,,60,0,1,781993,900,,
QJ00777683,,,UX144R3,個,2,JPY,0,,2014/7/1,2019/6/30,,60,0,1,781993,1000,,
QJ00777766,,,UX14383,個,1,JPY,0,,2014/6/21,2019/6/20,,60,0,1,777766,100,,
QJ00778126,,,UX14383,個,1,JPY,0,,2014/6/13,2019/5/31,,60,0,1,785470,2400,,
QJ00778215,,,UX14383,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,785238,1900,,
QJ00778450,,,UX141G3,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,782928,1000,,
QJ00778774,,,UX14413,個,1,JPY,0,,2014/7/1,2018/6/30,,48,0,1,778774,500,,
QJ00779284,,,UX142K3,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,779437,200,,
QJ00779284,,,UX143V3,個,50,JPY,0,,2014/7/1,2019/6/30,,60,0,1,779437,300,,
QJ00779284,,,UX144X3,個,40,JPY,0,,2014/7/1,2019/6/30,,60,0,1,779437,400,,
QJ00779284,,,UX141G3,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,779437,500,,
QJ00779620,,,UX142E2,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,786377,1700,,
QJ00779620,,,UX142K3,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,786377,4200,,
QJ00779620,,,UX143X3,個,300,JPY,0,,2014/7/1,2019/6/30,,60,0,1,786377,4300,,
QJ00779620,,,UX141G3,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,786377,4400,,
QJ00780573,,,UX14383,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,785411,1200,,
QJ00780913,,,UX141C3,個,1,JPY,0,,2014/6/1,2019/5/31,,60,0,1,780913,100,,
QJ00780914,,,UX14383,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,781497,200,,
QJ00781122,,,UX14383,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,781122,100,,
QJ00782849,,,UX14383,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,783073,100,,
QJ00783322,,,UX14383,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,784393,200,,
QJ00783323,,,UX141G3,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,786031,3400,,
QJ00783487,,,UX14383,個,1,JPY,0,,2014/5/1,2019/4/30,,60,0,1,783583,100,,
QJ00783548,,,UX14383,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,783548,2900,,
QJ00783550,,,UX142K3,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,791460,300,,
QJ00783550,,,UX143T3,個,30,JPY,0,,2014/7/1,2019/6/30,,60,0,1,791460,400,,
QJ00783550,,,UX143R3,個,5,JPY,0,,2014/7/1,2019/6/30,,60,0,1,791460,500,,
QJ00783550,,,UX144W3,個,30,JPY,0,,2014/7/1,2019/6/30,,60,0,1,791460,600,,
QJ00783550,,,UX141G3,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,791460,700,,
QJ00783650,,,UXA40T4,個,1,JPY,0,,2014/7/1,2019/2/28,,56,0,1,783807,100,,
QJ00784254,,,UX14413,個,1,JPY,0,,2015/1/1,2018/12/31,,48,0,1,784254,500,,
QJ00784461,,,UX14403,個,1,JPY,0,,2014/7/1,2019/1/31,,55,0,1,786436,200,,
QJ00784602,,,UX14403,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,803371,3000,,
QJ00784605,,,UX14383,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,785222,100,,
QJ00785164,,,UXA40T2,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,785401,200,,
QJ00787690,,,UX14383,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,787690,100,,
QJ00788318,,,UX14383,個,1,JPY,0,,2014/4/1,2019/3/31,,60,0,1,788318,100,,
QJ00788628,,,UX141C3,個,1,JPY,0,,2014/7/25,2019/7/30,,60,0,1,788879,200,,
QJ00789044,,,UX14383,個,1,JPY,0,,2014/10/1,2019/9/30,,60,0,1,804742,3200,,
QJ00789203,,,UX14383,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,789580,200,,
QJ00790485,,,UX14383,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,808058,2800,,
QJ00792670,,,UX14383,個,1,JPY,0,,2014/7/10,2019/7/9,,60,0,1,793144,100,,
QJ00793342,,,UX142K3,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,793844,300,,
QJ00793342,,,UX143T3,個,30,JPY,0,,2014/8/1,2019/7/31,,60,0,1,793844,400,,
QJ00793342,,,UX143R3,個,5,JPY,0,,2014/8/1,2019/7/31,,60,0,1,793844,500,,
QJ00793342,,,UX142M3,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,793844,600,,
QJ00793342,,,UX144V3,個,20,JPY,0,,2014/8/1,2019/7/31,,60,0,1,793844,700,,
QJ00793342,,,UX144R3,個,2,JPY,0,,2014/8/1,2019/7/31,,60,0,1,793844,800,,
QJ00793342,,,UX141G3,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,793844,900,,
QJ00793450,,,UX14383,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,806497,1500,,
QJ00795333,,,UX14383,個,1,JPY,0,,2014/7/24,2019/7/31,,60,0,1,796191,200,,
QJ00795751,,,UX14383,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,795751,2200,,
QJ00796259,,,UX14383,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,796259,3100,,
