試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ00016798,,,UXA40T0,個,1,JPY,0,,2010/04/01,2013/03/31,,36,0,1,16798,10,,
QJ00016799,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16799,10,,
QJ00016800,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16800,10,,
QJ00016801,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16801,10,,
QJ00016802,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16802,10,,
QJ00016803,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16803,10,,
QJ00016804,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16804,10,,
QJ00016805,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16805,10,,
QJ00016806,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16806,10,,
QJ00016807,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16807,10,,
QJ00016808,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16808,10,,
QJ00016809,,,UXA40T0,個,1,JPY,0,,2010/04/01,2013/03/31,,36,0,1,16809,10,,
QJ00016810,,,UXA40T0,個,1,JPY,0,,2010/05/01,2013/04/30,,36,0,1,16810,10,,
QJ00016811,,,UXA40T0,個,1,JPY,0,,2010/04/01,2013/03/31,,36,0,1,16811,10,,
QJ00016812,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16812,10,,
QJ00016813,,,UXA40T0,個,1,JPY,0,,2010/04/01,2013/03/31,,36,0,1,16813,10,,
QJ00016814,,,UXA40T0,個,1,JPY,0,,2010/04/01,2013/03/31,,36,0,1,16814,10,,
QJ00016815,,,UXA40T0,個,1,JPY,0,,2010/04/01,2013/03/31,,36,0,1,16815,10,,
QJ00016816,,,UXA40T0,個,1,JPY,0,,2010/04/01,2013/03/31,,36,0,1,16816,10,,
QJ00016817,,,UXA40T0,個,1,JPY,0,,2010/04/01,2013/03/31,,36,0,1,16817,10,,
